Spill / Vessel,Location,Dates,Min Tonnes,Max Tonnes,Owner,Country
2023 Princess Empress oil spill,"Philippines, Pola, Oriental Mindoro",28 February 2023,881,881,RDC Reield Marine Services,Philippines
2022 Keystone Pipeline oil spill,"United States, Washington County, Kansas",7 December 2022,18516.94,18516.94,TC Energy,United States
2022 Chesire oil truck rollover,"United States, Cheshire, Connecticut",11 February 2022,62.98,62.98,Libretti and Sons Fuel,United States
2022 Callao oil spill,"Ventanilla District, Callao, Peru",15 January 2022,1626.39,1861.68,Repsol,Peru
2021 New Orleans oil spill,"United States, St. Bernard Parish, Louisiana",27 December 2021,944.11,944.11,PBF Energy,United States
2021 Orange County oil spill,"United States, Orange County, California shoreline",1 October 2021,424.42,424.42,Amplify Energy,United States
2021 Mediterranean oil spill/Emerald,"Israel, Lebanon, Mediterranean shoreline",11 February 2021,,,Emerald Marine Ltd,Israel and Lebanon (since this location refers to a shared shoreline)
Chevron Richmond Refinery,"United States, Richmond, California",9 February 2021,1.9,1.9,Chevron Corporation,United States
2020 Colonial Pipeline oil spill,"United States, North Carolina, Huntersville",14 August 2020,63000,63000,Colonial Pipeline,United States
El Palito Refinery,"Venezuela, Golfo Triste",8 August 2020,2700,2700,PetrÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â³leos de Venezuela,Venezuela
Trans Mountain oil spill,"Canada, British Columbia, Abbotsford",14 June 2020,118.5,184.87,Trans Mountain,Canada
Norilsk diesel fuel spill,"Russia, Norilsk, Krasnoyarsk Krai",29 May 2020,1750,17500,Nornickel,Russia
Tanker truck pumping out sludge from a vessel,"New Zealand, Tauranga, Bay of Plenty",30 March 2020,1.7,1.7,,New Zealand
T.G. Williams Well No. 1 tank battery,"United States, Texas, Oakland Creek, Longview",30 March 2020,,,Fortune Resources,United States
Greka Energy oil facility,"United States, California, Santa Maria",30 March 2020,,,Greka,United States
True Oil pipeline,"United States, North Dakota, Red Wing Creek",27 March 2020,,,True Oil LLC,United States
Tanker truck rollover,"United States, California, Santa Maria, Cuyama River",21 March 2020,14.6,19.5,,United States
Keystone Pipeline 2019 spill,"United States, North Dakota, Walsh County, North Dakota",29 October 2019,1240,1240,TransCanada Corporation,United States
Willowton Oil,"South Africa, KwaZulu-Natal, near Pietermaritzburg and Durban",1 August 2019,,,Willowton Group,South Africa
North East Brazil oil spill (suspected source: NM Bouboulina),"Brazil, 733ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â km from Paraiba",29 July 2019,,,Delta Tankers Ltd.,Brazil
Guarello Island iron ore export terminal diesel spill,"Chile, Guarello Island, Magallanes Region",27 July 2019,35.4,35.4,CompaÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â±ÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â­a de Acero del PacÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â­fico,Chile
MV Chrysanthi S bunkering spill at sea,"South Africa, Algoa Bay, Port of Ngqura",6 July 2019,0.2,0.4,SA Marine Fuels (bunkering service company),South Africa
MV Solomon Trader fuel oil spill,"Solomon Islands, Rennell Island",5 February 2019,75,80,South Express Ltd,Solomon Islands
SeaRose FPSO production ship spill,"Canada, St. John's, Newfoundland and Labrador",16 November 2018,219,219,Husky Energy,Canada
Ulysse-Virginia collision,North of Corsica (international waters),1 October 2018,,,,International Waters (near France)
Port Erin diesel spill (source ),Isle of Man,23 July 2018,,,,Isle of Man (self-governing British Crown dependency)
Sanchi oil tanker collision with CF Crystal,East China Sea,6 January 2018,138000,138000,National Iranian Tanker Company,East China Sea (associated with multiple countries in East Asia)
Keystone Pipeline 2017 spill,"United States, Marshall County, South Dakota",16 November 2017,1322,1322,TransCanada Corporation,United States
Agia Zoni II,"Greece, Saronic Gulf, Salamis",10 September 2017,2500,2500,Fos Petroleum SA,Greece
East River insulating oil spill,"United States, New York",7 May 2017,97,101,Con Edison,United States
Energy Transfer Partners Dakota Access Pipeline Leak,"United States, North Dakota",4 April 2017,0.27,0.27,Energy Transfer Partners,United States
Ennore oil spill,"India, Chennai, Ennore Port",28 January 2017,251,251,Darya Shipping Solutions,India
Belle Fourche pipeline leak,"United States, North Dakota, Billings County, Ash Coulee Creek",5 December 2016,571,571,Belle Fourche Pipeline Company,United States
Fox Creek pipeline leak,"Canada, Alberta, Fox Creek",6 October 2016,240,240,Trilogy Energy,Canada



